transaction_id,transaction_date,transaction_type,product_code,warehouse,quantity,unit_price
SAL-2024-08-01-MCB-001-CHI,2024-08-01,sale,MCB-001,Chicago,142,11.82
PUR-2024-08-01-MCB-001-CHI,2024-08-01,purchase,MCB-001,Chicago,162,11.82
SAL-2024-08-01-MCB-001-HOU,2024-08-01,sale,MCB-001,Houston,114,11.82
PUR-2024-08-01-MCB-001-HOU,2024-08-01,purchase,MCB-001,Houston,111,11.82
SAL-2024-08-01-MCB-001-PIT,2024-08-01,sale,MCB-001,Pittsburgh,78,11.82
PUR-2024-08-01-MCB-001-PIT,2024-08-01,purchase,MCB-001,Pittsburgh,88,11.82
SAL-2024-08-01-MCB-002-CHI,2024-08-01,sale,MCB-002,Chicago,219,10.69
PUR-2024-08-01-MCB-002-CHI,2024-08-01,purchase,MCB-002,Chicago,231,10.69
SAL-2024-08-01-MCB-002-HOU,2024-08-01,sale,MCB-002,Houston,181,10.69
PUR-2024-08-01-MCB-002-HOU,2024-08-01,purchase,MCB-002,Houston,187,10.69
SAL-2024-08-01-MCB-002-PIT,2024-08-01,sale,MCB-002,Pittsburgh,124,10.69
PUR-2024-08-01-MCB-002-PIT,2024-08-01,purchase,MCB-002,Pittsburgh,131,10.69
SAL-2024-08-01-MCB-003-CHI,2024-08-01,sale,MCB-003,Chicago,125,10.72
PUR-2024-08-01-MCB-003-CHI,2024-08-01,purchase,MCB-003,Chicago,158,10.72
SAL-2024-08-01-MCB-003-HOU,2024-08-01,sale,MCB-003,Houston,98,10.72
PUR-2024-08-01-MCB-003-HOU,2024-08-01,purchase,MCB-003,Houston,105,10.72
SAL-2024-08-01-MCB-003-PIT,2024-08-01,sale,MCB-003,Pittsburgh,84,10.72
PUR-2024-08-01-MCB-003-PIT,2024-08-01,purchase,MCB-003,Pittsburgh,96,10.72
SAL-2024-08-01-MCB-004-CHI,2024-08-01,sale,MCB-004,Chicago,172,12.11
PUR-2024-08-01-MCB-004-CHI,2024-08-01,purchase,MCB-004,Chicago,132,12.11
SAL-2024-08-01-MCB-004-HOU,2024-08-01,sale,MCB-004,Houston,115,12.11
PUR-2024-08-01-MCB-004-HOU,2024-08-01,purchase,MCB-004,Houston,126,12.11
SAL-2024-08-01-MCB-004-PIT,2024-08-01,sale,MCB-004,Pittsburgh,101,12.11
PUR-2024-08-01-MCB-004-PIT,2024-08-01,purchase,MCB-004,Pittsburgh,95,12.11
SAL-2024-08-01-MCB-005-CHI,2024-08-01,sale,MCB-005,Chicago,159,12.46
PUR-2024-08-01-MCB-005-CHI,2024-08-01,purchase,MCB-005,Chicago,151,12.46
SAL-2024-08-01-MCB-005-HOU,2024-08-01,sale,MCB-005,Houston,114,12.46
PUR-2024-08-01-MCB-005-HOU,2024-08-01,purchase,MCB-005,Houston,123,12.46
SAL-2024-08-01-MCB-005-PIT,2024-08-01,sale,MCB-005,Pittsburgh,97,12.46
PUR-2024-08-01-MCB-005-PIT,2024-08-01,purchase,MCB-005,Pittsburgh,83,12.46
SAL-2024-08-01-HAB-001-CHI,2024-08-01,sale,HAB-001,Chicago,130,9.1
PUR-2024-08-01-HAB-001-CHI,2024-08-01,purchase,HAB-001,Chicago,131,9.1
SAL-2024-08-01-HAB-001-HOU,2024-08-01,sale,HAB-001,Houston,105,9.1
PUR-2024-08-01-HAB-001-HOU,2024-08-01,purchase,HAB-001,Houston,140,9.1
SAL-2024-08-01-HAB-001-PIT,2024-08-01,sale,HAB-001,Pittsburgh,87,9.1
PUR-2024-08-01-HAB-001-PIT,2024-08-01,purchase,HAB-001,Pittsburgh,100,9.1
SAL-2024-08-01-HAB-002-CHI,2024-08-01,sale,HAB-002,Chicago,95,8.92
PUR-2024-08-01-HAB-002-CHI,2024-08-01,purchase,HAB-002,Chicago,116,8.92
SAL-2024-08-01-HAB-002-HOU,2024-08-01,sale,HAB-002,Houston,88,8.92
PUR-2024-08-01-HAB-002-HOU,2024-08-01,purchase,HAB-002,Houston,63,8.92
SAL-2024-08-01-HAB-002-PIT,2024-08-01,sale,HAB-002,Pittsburgh,53,8.92
PUR-2024-08-01-HAB-002-PIT,2024-08-01,purchase,HAB-002,Pittsburgh,61,8.92
SAL-2024-08-01-HAB-003-CHI,2024-08-01,sale,HAB-003,Chicago,147,6.1
PUR-2024-08-01-HAB-003-CHI,2024-08-01,purchase,HAB-003,Chicago,157,6.1
SAL-2024-08-01-HAB-003-HOU,2024-08-01,sale,HAB-003,Houston,114,6.1
PUR-2024-08-01-HAB-003-HOU,2024-08-01,purchase,HAB-003,Houston,89,6.1
SAL-2024-08-01-HAB-003-PIT,2024-08-01,sale,HAB-003,Pittsburgh,73,6.1
PUR-2024-08-01-HAB-003-PIT,2024-08-01,purchase,HAB-003,Pittsburgh,62,6.1
SAL-2024-08-01-HAB-004-CHI,2024-08-01,sale,HAB-004,Chicago,116,8.31
PUR-2024-08-01-HAB-004-CHI,2024-08-01,purchase,HAB-004,Chicago,126,8.31
SAL-2024-08-01-HAB-004-HOU,2024-08-01,sale,HAB-004,Houston,99,8.31
PUR-2024-08-01-HAB-004-HOU,2024-08-01,purchase,HAB-004,Houston,105,8.31
SAL-2024-08-01-HAB-004-PIT,2024-08-01,sale,HAB-004,Pittsburgh,62,8.31
PUR-2024-08-01-HAB-004-PIT,2024-08-01,purchase,HAB-004,Pittsburgh,76,8.31
SAL-2024-08-01-HAB-005-CHI,2024-08-01,sale,HAB-005,Chicago,94,7.4
PUR-2024-08-01-HAB-005-CHI,2024-08-01,purchase,HAB-005,Chicago,84,7.4
SAL-2024-08-01-HAB-005-HOU,2024-08-01,sale,HAB-005,Houston,68,7.4
PUR-2024-08-01-HAB-005-HOU,2024-08-01,purchase,HAB-005,Houston,68,7.4
SAL-2024-08-01-HAB-005-PIT,2024-08-01,sale,HAB-005,Pittsburgh,57,7.4
PUR-2024-08-01-HAB-005-PIT,2024-08-01,purchase,HAB-005,Pittsburgh,52,7.4
SAL-2024-08-01-CAS-001-CHI,2024-08-01,sale,CAS-001,Chicago,22,1238.72
PUR-2024-08-01-CAS-001-CHI,2024-08-01,purchase,CAS-001,Chicago,27,1238.72
SAL-2024-08-01-CAS-001-HOU,2024-08-01,sale,CAS-001,Houston,19,1238.72
PUR-2024-08-01-CAS-001-HOU,2024-08-01,purchase,CAS-001,Houston,19,1238.72
SAL-2024-08-01-CAS-001-PIT,2024-08-01,sale,CAS-001,Pittsburgh,14,1238.72
PUR-2024-08-01-CAS-001-PIT,2024-08-01,purchase,CAS-001,Pittsburgh,14,1238.72
SAL-2024-08-01-CAS-002-CHI,2024-08-01,sale,CAS-002,Chicago,20,1129.98
PUR-2024-08-01-CAS-002-CHI,2024-08-01,purchase,CAS-002,Chicago,27,1129.98
SAL-2024-08-01-CAS-002-HOU,2024-08-01,sale,CAS-002,Houston,16,1129.98
PUR-2024-08-01-CAS-002-HOU,2024-08-01,purchase,CAS-002,Houston,16,1129.98
SAL-2024-08-01-CAS-002-PIT,2024-08-01,sale,CAS-002,Pittsburgh,12,1129.98
PUR-2024-08-01-CAS-002-PIT,2024-08-01,purchase,CAS-002,Pittsburgh,15,1129.98
SAL-2024-08-01-CAS-003-CHI,2024-08-01,sale,CAS-003,Chicago,19,1201.89
PUR-2024-08-01-CAS-003-CHI,2024-08-01,purchase,CAS-003,Chicago,13,1201.89
